4 	 CH 	note:  ?	 	onset :  9.729
4 	 CH 	note:  1/4 	onset :  10.542
4 	 S 	note:  1/4 	onset :  11.355
4 	 S 	note:  1/16 	onset :  11.529
4 	 MT 	note:  1/16 	onset :  11.726
4 	 MT 	note:  1/16 	onset :  11.958
4 	 B+FT 	note:  1/16 	onset :  12.156
4 	 B+FT 	note:  1/16 	onset :  12.353
4 	 B+C 	note:  1/16 	onset :  12.574
5 	 B+C 	note:  1/8 	onset :  12.980
5 	 CH 	note:  1/8 	onset :  13.363
5 	 S+CH 	note:  1/8 	onset :  13.758
5 	 CH 	note:  1/8 	onset :  14.187
5 	 B+CH 	note:  1/8 	onset :  14.594
5 	 S 	note:  1/16 	onset :  14.803
5 	 B+CH 	note:  1/16 	onset :  14.977
5 	 B 	note:  1/16 	onset :  15.209
5 	 S+B+CH 	note:  1/16 	onset :  15.383
5 	 CH 	note:  1/8 	onset :  15.778
6 	 B+CH 	note:  1/8 	onset :  16.208
6 	 CH 	note:  1/8 	onset :  16.625
6 	 S+CH 	note:  1/8 	onset :  17.009
6 	 CH 	note:  1/8 	onset :  17.403
6 	 B+CH 	note:  1/8 	onset :  17.833
6 	 S 	note:  1/16 	onset :  18.042
6 	 B+CH 	note:  1/16 	onset :  18.216
6 	 B 	note:  1/16 	onset :  18.425
6 	 S+B+CH 	note:  1/16 	onset :  18.634
6 	 CH 	note:  1/8 	onset :  19.029
7 	 B+CH 	note:  1/8 	onset :  19.458
7 	 CH 	note:  1/8 	onset :  19.865
7 	 S+CH 	note:  1/8 	onset :  20.271
7 	 CH 	note:  1/8 	onset :  20.643
7 	 B+CH 	note:  1/8 	onset :  21.084
7 	 S 	note:  1/16 	onset :  21.281
7 	 B+CH 	note:  1/16 	onset :  21.490
7 	 B 	note:  1/16 	onset :  21.664
7 	 S+CH 	note:  1/16 	onset :  21.873
7 	 CH 	note:  1/8 	onset :  22.268
8 	 B+CH 	note:  1/8 	onset :  22.686
8 	 CH 	note:  1/8 	onset :  23.081
8 	 S+CH 	note:  1/8 	onset :  23.499
8 	 CH 	note:  1/8 	onset :  23.882
8 	 B+CH 	note:  1/8 	onset :  24.323
8 	 S 	note:  1/16 	onset :  24.532
8 	 B+CH 	note:  1/16 	onset :  24.729
8 	 B 	note:  1/16 	onset :  24.915
8 	 S 	note:  1/16 	onset :  25.112
8 	 MT 	note:  1/16 	onset :  25.310
8 	 B 	note:  1/16 	onset :  25.542
9 	 B+C 	note:  1/8 	onset :  25.925
12 	 CH 	note:  ?	 	onset :  37.698
12 	 CH 	note:  1/16 	onset :  37.872
12 	 OH 	note:  1/16 	onset :  38.081
