4 	 CH 	note:  1/4 	onset :  8.998
4 	 CH 	note:  1/4 	onset :  9.718
4 	 CH 	note:  1/4 	onset :  10.472
4 	 S 	note:  1/16 	onset :  11.227
4 	 S 	note:  1/16 	onset :  11.401
4 	 MT 	note:  1/8 	onset :  11.622
5 	 B+C 	note:  1/8 	onset :  12.005
5 	 CH 	note:  1/8 	onset :  12.376
5 	 S+CH 	note:  1/8 	onset :  12.748
5 	 CH 	note:  1/8 	onset :  13.131
5 	 B+CH 	note:  1/8 	onset :  13.491
5 	 CH 	note:  1/8 	onset :  13.874
5 	 S+CH 	note:  1/8 	onset :  14.234
5 	 CH 	note:  1/8 	onset :  14.629
6 	 B+CH 	note:  1/8 	onset :  15.000
6 	 CH 	note:  1/8 	onset :  15.372
6 	 S+CH 	note:  1/8 	onset :  15.743
6 	 CH 	note:  1/8 	onset :  16.126
6 	 B+CH 	note:  1/8 	onset :  16.486
6 	 B+CH 	note:  1/8 	onset :  16.869
6 	 S+CH 	note:  1/8 	onset :  17.252
6 	 CH 	note:  1/8 	onset :  17.624
7 	 B+CH 	note:  1/8 	onset :  17.995
7 	 CH 	note:  1/8 	onset :  18.379
7 	 S+CH 	note:  1/8 	onset :  18.739
7 	 CH 	note:  1/8 	onset :  19.122
7 	 B+CH 	note:  1/8 	onset :  19.493
7 	 CH 	note:  1/8 	onset :  19.876
7 	 S+CH 	note:  1/8 	onset :  20.236
7 	 CH 	note:  1/8 	onset :  20.619
8 	 B+CH 	note:  1/8 	onset :  21.002
8 	 CH 	note:  1/8 	onset :  21.374
8 	 S+CH 	note:  1/8 	onset :  21.734
8 	 CH 	note:  1/8 	onset :  22.129
8 	 B+CH 	note:  1/8 	onset :  22.500
8 	 B+CH 	note:  1/8 	onset :  22.872
8 	 S+CH 	note:  1/8 	onset :  23.243
8 	 CH 	note:  1/8 	onset :  23.626
9 	 B+CH 	note:  1/8 	onset :  23.998
9 	 CH 	note:  1/8 	onset :  24.369
9 	 S+CH 	note:  1/8 	onset :  24.752
9 	 CH 	note:  1/8 	onset :  25.124
9 	 B+CH 	note:  1/8 	onset :  25.496
9 	 CH 	note:  1/8 	onset :  25.879
9 	 S+CH 	note:  1/8 	onset :  26.239
9 	 CH 	note:  1/8 	onset :  26.622
10 	 B+CH 	note:  1/8 	onset :  26.993
10 	 CH 	note:  1/8 	onset :  27.376
10 	 S+CH 	note:  1/8 	onset :  27.736
10 	 CH 	note:  1/8 	onset :  28.119
10 	 B+CH 	note:  1/8 	onset :  28.502
10 	 B+CH 	note:  1/8 	onset :  28.874
10 	 S+CH 	note:  1/8 	onset :  29.246
10 	 CH 	note:  1/8 	onset :  29.629
11 	 B+CH 	note:  1/8 	onset :  30.000
11 	 CH 	note:  1/8 	onset :  30.372
11 	 S+CH 	note:  1/8 	onset :  30.732
